era,songs,duration_min,danceability,energy,loudness,acousticness,valence
Pre-streaming,19360,3.6610601325757575,0.5893960743801652,0.6074664246384297,-9.284517923553718,0.32077358527892563,0.6330763016528925
Streaming growth,4266,3.6430008165338332,0.6392911392405063,0.66686678387248,-6.039262541022034,0.1850261364275668,0.47901054852320674
Streaming native,580,3.203415517241379,0.6667844827586206,0.6161143103448276,-6.815901724137931,0.24429962413793102,0.46422120689655166
