year,songs,duration_min,danceability,energy,loudness,acousticness,valence,tempo
1958,233,2.470633404864092,0.5480042918454935,0.4860583690987124,-10.585922746781115,0.683007373390558,0.68537339055794,114.61635193133047
1959,373,2.4625018766756033,0.5238042895442359,0.46836970509383374,-11.275541554959785,0.6687260589812333,0.6517892761394101,117.45546648793567
1960,413,2.556671630347054,0.5089854721549636,0.45250891283292977,-10.91187651331719,0.6730163607748184,0.6367675544794189,116.14994430992735
1961,489,2.56254754601227,0.5271901840490797,0.4840503067484662,-10.417693251533743,0.6627473415132924,0.6658717791411042,117.74394683026586
1962,480,2.6250452083333333,0.5421666666666667,0.4727260416666666,-10.964135416666666,0.6410667958333334,0.66515625,118.38510416666666
1963,482,2.58359806362379,0.528753112033195,0.5080796680497925,-10.370904564315353,0.603220663900415,0.6682354771784232,119.70092946058091
1964,535,2.6224035202492213,0.5321457943925233,0.5502089719626168,-9.978592523364485,0.5486548130841121,0.6908555140186915,119.96118691588785
1965,569,2.6965264206209727,0.5236713532513181,0.539102460456942,-9.951796133567663,0.5086439490333919,0.6552687170474516,120.09426362038664
1966,594,2.736991919191919,0.5410723905723905,0.5426252525252525,-9.992129629629629,0.45723316498316496,0.6755723905723905,121.54319191919193
1967,599,2.848916833611575,0.5325191986644408,0.5288819699499165,-10.140470784641067,0.43972569616026713,0.653550918196995,120.3232487479132
1968,528,2.979856818181818,0.5404734848484849,0.5178013257575758,-10.670028409090909,0.4184923579545455,0.6506876893939393,117.17246212121212
1969,529,3.191900756143667,0.52348393194707,0.5328391304347826,-10.742251417769376,0.4048533213610586,0.6537880907372401,119.7651493383743
1970,452,3.355871423303835,0.5335243362831859,0.5549294247787611,-10.559893805309734,0.3807762345132743,0.6461081858407078,117.40803761061946
1971,445,3.4340085767790263,0.5426516853932584,0.5583835955056179,-10.736993258426965,0.4127856674157303,0.6635905617977528,117.23092584269664
1972,467,3.6155829050678086,0.5349207708779443,0.5541595289079229,-10.750366167023556,0.4094633254817987,0.6390169164882228,119.11106638115632
1973,408,3.6727259395424836,0.5667696078431372,0.5674122549019608,-10.625294117647059,0.39749570098039216,0.6743860294117647,120.698875
1974,416,3.722543149038462,0.5861466346153846,0.5961802884615385,-10.382899038461538,0.3537905048076923,0.6871014423076923,118.75847115384614
1975,419,3.8698003579952265,0.5784224343675417,0.5987579952267302,-10.317482100238662,0.33179248210023865,0.6701534606205249,118.91747255369928
1976,416,4.0365635817307695,0.584670673076923,0.6225375,-10.079411057692308,0.3029231394230769,0.6670649038461538,121.55608413461538
1977,364,3.9696075549450547,0.5873626373626373,0.6010769230769231,-10.08209065934066,0.2890253104395604,0.6490950549450549,119.6775521978022
1978,357,4.045494397759104,0.5996498599439776,0.5976963585434174,-10.22081512605042,0.24746061904761904,0.6717871148459383,119.05255742296919
1979,389,4.246414395886889,0.622426735218509,0.6282668380462725,-10.232077120822622,0.22681515424164522,0.7015447300771208,122.13302313624679
1980,362,4.065224217311234,0.603756906077348,0.6013723756906078,-10.067881215469614,0.2573221906077348,0.6537723756906076,122.86461049723758
1981,343,4.043931243926142,0.6033935860058309,0.5796034985422741,-10.218690962099124,0.2878446997084548,0.6174402332361516,119.86181049562683
1982,365,4.070556666666667,0.6310904109589041,0.6047619178082192,-10.073117808219179,0.24092676164383559,0.6714008219178081,120.76517260273972
1983,385,4.181098008658009,0.6280571428571429,0.6547620779220779,-9.5885012987013,0.18338955584415584,0.6731966233766233,126.05753246753247
1984,353,4.3362010859301225,0.6426968838526912,0.6912657223796034,-9.206509915014164,0.1592619688385269,0.6789620396600566,122.58809631728045
1985,356,4.382510440074906,0.6423876404494382,0.6971376404494382,-9.784272471910112,0.1807405926966292,0.691622191011236,122.81831179775281
1986,351,4.356904131054131,0.6323903133903134,0.6796780626780626,-9.90631623931624,0.18771237037037036,0.6632122507122507,118.49350427350427
1987,328,4.348365548780488,0.6343445121951219,0.6926829268292682,-9.857667682926829,0.16538676219512194,0.6670121951219512,120.45839939024391
1988,317,4.423080021030494,0.6376561514195583,0.6719905362776025,-10.268703470031546,0.18261874763406938,0.6459447949526814,119.68449842271292
1989,331,4.416147331319235,0.6177069486404834,0.6944199395770392,-9.678066465256798,0.16601326283987916,0.6353120845921449,119.32487009063443
1990,319,4.531011755485894,0.6298526645768026,0.6905300940438871,-9.445025078369907,0.14853284639498432,0.6135689655172414,117.37907523510972
1991,315,4.519378306878307,0.6385238095238095,0.6735047619047619,-9.734961904761905,0.14996448253968253,0.5877536507936507,119.18895238095237
1992,292,4.547565353881279,0.6487328767123287,0.6756335616438356,-9.294996575342466,0.14532788013698628,0.5901633561643835,119.0438801369863
1993,277,4.503664440433213,0.6573321299638989,0.6373898916967509,-9.30454512635379,0.16098584837545124,0.5734888086642599,118.20618411552347
1994,265,4.2820842138364785,0.6471924528301887,0.6386188679245283,-8.801581132075471,0.2003846867924528,0.5769894339622641,117.32897735849056
1995,257,4.336325551232166,0.6595680933852139,0.6509377431906614,-8.128610894941634,0.17552494163424123,0.5769529182879377,115.266953307393
1996,233,4.39515243204578,0.6545836909871244,0.6370184549356223,-7.959995708154507,0.19960320600858367,0.5814480686695278,115.75625751072961
1997,257,4.314316926070039,0.6839922178988327,0.642579766536965,-7.632828793774319,0.17088961867704278,0.5780556420233463,118.15573540856032
1998,296,4.178063119369369,0.6638918918918919,0.6318763513513513,-7.5416081081081074,0.19271182432432432,0.5566749999999999,116.43163175675676
1999,281,4.074977164887308,0.6482064056939502,0.674288256227758,-6.7953558718861204,0.16186086832740212,0.5722167259786477,114.36309964412811
2000,281,4.1324396797153025,0.6612064056939501,0.6895160142348754,-6.3228647686832735,0.16013493238434162,0.5593508896797152,117.66944483985766
2001,246,4.038306029810298,0.6532642276422764,0.6983373983739837,-6.089617886178862,0.1552736138211382,0.5863914634146341,114.80118699186993
2002,277,4.035434175691938,0.6303393501805054,0.7141768953068592,-5.74254512635379,0.15235899638989167,0.5791916967509024,117.0932202166065
2003,289,4.069931026528259,0.6360726643598615,0.7128200692041522,-5.7578096885813155,0.15442795847750862,0.5676629757785467,117.14876124567473
2004,284,4.005110622065728,0.634950704225352,0.7112922535211267,-5.647475352112676,0.16014671126760563,0.5691739436619718,120.1018661971831
2005,326,3.9343280674846626,0.6249846625766871,0.7045828220858895,-5.88279754601227,0.1504224079754601,0.5328917177914111,120.80803067484662
2006,339,3.8604162733529988,0.6271563421828908,0.7303893805309735,-5.392908554572271,0.13380899705014748,0.5607787610619469,122.38166371681416
2007,311,3.8836169882100746,0.6167556270096463,0.7175369774919614,-5.534569131832797,0.15635987138263666,0.5374797427652732,123.42707717041802
2008,363,3.914065243342516,0.5945289256198347,0.7315674931129476,-5.394776859504132,0.1407879696969697,0.5249176308539945,124.86812121212121
2009,404,3.8053411303630362,0.5828069306930692,0.735730198019802,-5.238049504950495,0.14459167326732672,0.5142965346534653,125.3564801980198
2010,427,3.866105581576893,0.5888735362997658,0.7122037470725995,-5.557770491803279,0.1843052599531616,0.5074271662763465,124.04309133489461
2011,461,3.7692379609544466,0.5832429501084598,0.7208681127982647,-5.466854663774403,0.16629398481561822,0.49980477223427333,125.33775271149675
2012,346,3.8436077071290944,0.6055231213872833,0.7264566473988439,-5.509375722543353,0.13903007225433525,0.5053167630057803,123.41265895953757
2013,348,3.8800947318007664,0.6088390804597701,0.6916074712643677,-5.767439655172414,0.1541814109195402,0.5001103448275862,125.17163218390806
2014,344,3.7215411337209305,0.6284796511627907,0.6997642441860464,-5.910302325581395,0.17444747965116278,0.5051098837209302,123.53090988372094
